model,Hist_run,Hist_grid,Hist_Nat_run,Hist_Nat_grid,Hist_GHG_run,Hist_GHG_grid,Hist_Aer_run,Hist_Aer_grid
CMCC-CM2-SR5,r3i1p2f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
CMCC-CM2-SR5,r4i1p2f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
CMCC-CM2-SR5,r5i1p2f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
CMCC-CM2-SR5,r6i1p2f1,gn,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn
CMCC-CM2-SR5,r7i1p2f1,gn,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn
CMCC-CM2-SR5,r8i1p2f1,gn,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn
CMCC-CM2-SR5,r9i1p2f1,gn,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn
CMCC-CM2-SR5,r10i1p2f1,gn,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn
CanESM5,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn
CanESM5,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
CanESM5,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
CanESM5,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
CanESM5,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn
CanESM5,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn
CanESM5,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn
CanESM5,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn
CanESM5,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn
HadGEM3-GC31-LL,r1i1p1f3,gn,r1i1p1f3,gn,r1i1p1f3,gn,r1i1p1f3,gn
HadGEM3-GC31-LL,r2i1p1f3,gn,r2i1p1f3,gn,r2i1p1f3,gn,r2i1p1f3,gn
HadGEM3-GC31-LL,r3i1p1f3,gn,r3i1p1f3,gn,r3i1p1f3,gn,r3i1p1f3,gn
HadGEM3-GC31-LL,r4i1p1f3,gn,r4i1p1f3,gn,r4i1p1f3,gn,r4i1p1f3,gn
HadGEM3-GC31-LL,r5i1p1f3,gn,r5i1p1f3,gn,r5i1p1f3,gn,r5i1p1f3,gn
HadGEM3-GC31-LL,r16i1p1f3,gn,r16i1p1f3,gn,r16i1p1f3,gn,r16i1p1f3,gn
HadGEM3-GC31-LL,r17i1p1f3,gn,r17i1p1f3,gn,r17i1p1f3,gn,r17i1p1f3,gn
HadGEM3-GC31-LL,r18i1p1f3,gn,r18i1p1f3,gn,r18i1p1f3,gn,r18i1p1f3,gn
HadGEM3-GC31-LL,r19i1p1f3,gn,r19i1p1f3,gn,r19i1p1f3,gn,r19i1p1f3,gn
HadGEM3-GC31-LL,r20i1p1f3,gn,r20i1p1f3,gn,r20i1p1f3,gn,r20i1p1f3,gn
MIROC6,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn
MIROC6,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn
MIROC6,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
MIROC6,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
MIROC6,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
MIROC6,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn
MIROC6,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn
MIROC6,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn
MIROC6,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn
MIROC6,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn
MPI-ESM1-2-LR,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
MPI-ESM1-2-LR,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
MPI-ESM1-2-LR,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
MPI-ESM1-2-LR,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn
MPI-ESM1-2-LR,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn
MPI-ESM1-2-LR,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn
MPI-ESM1-2-LR,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn
