LatC,LonC,country,pop
46.75,9.75,AT,104998.134866714
46.75,10.25,AT,24584.3240639567
47.25,10.25,AT,65097.8921775818
46.75,10.75,AT,48883.6128898859
46.75,11.25,AT,171828.410280964
47.25,11.25,AT,291458.860660553
47.25,11.75,AT,145717.90348053
46.75,12.25,AT,43745.5740801767
47.25,12.25,AT,80113.8167324066
46.75,12.75,AT,54969.2171134055
47.75,12.75,AT,249534.443588257
46.75,13.25,AT,53724.8422460984
47.25,13.25,AT,80345.7124710083
47.75,13.25,AT,358517.674591064
48.25,13.25,AT,217311.823364258
46.25,13.75,AT,45926.6925945282
46.75,13.75,AT,158527.029937744
47.25,13.75,AT,46426.1519927979
47.75,13.75,AT,141805.928024292
48.25,13.75,AT,251439.383789062
46.25,14.25,AT,387077.747783661
46.75,14.25,AT,232190.231391907
47.25,14.25,AT,41853.1643867493
47.75,14.25,AT,85273.7346496582
48.25,14.25,AT,640222.474914551
46.75,14.75,AT,120027.58807373
47.25,14.75,AT,85425.373374939
47.75,14.75,AT,49984.7446117401
48.25,14.75,AT,193777.008529663
48.75,14.75,AT,121042.573036194
46.75,15.25,AT,171343.136367798
47.25,15.25,AT,486984.450370789
47.75,15.25,AT,38881.3022346497
48.25,15.25,AT,129258.675491333
46.75,15.75,AT,322525.690795898
47.25,15.75,AT,206393.099487305
47.75,15.75,AT,70143.5425300598
48.25,15.75,AT,250920.668212891
47.25,16.25,AT,137099.561584473
47.75,16.25,AT,345487.489624023
48.25,16.25,AT,2037410.59210205
47.75,16.75,AT,201920.331312895
50.75,2.75,BE,605949.459228516
51.25,2.75,BE,218239.441009521
50.25,3.25,BE,644120.207183838
50.75,3.25,BE,1691734.10888672
50.25,3.75,BE,571288.768093109
50.75,3.75,BE,582187.84375
49.75,4.25,BE,76847.9732437134
50.25,4.25,BE,643793.026245117
50.75,4.25,BE,2314149.97607422
49.75,4.75,BE,183624.920394897
50.25,4.75,BE,386193.892227173
50.75,4.75,BE,746287.871582031
49.75,5.25,BE,94629.8887176514
50.25,5.25,BE,170489.979919434
